,title,name,party,state,district,elected,vote_share (%),age_start,education,end_service
285,Representative,Steny Hoyer,Democratic,Maryland,5,, 68.8,81.0,D,03/01/2023
286,Representative,David Trone,Democratic,Maryland,6,, 58.8,65.0,M,03/01/2023
287,Representative,Kweisi Mfume,Democratic,Maryland,7,, 71.6,72.0,M,03/01/2023
288,Representative,Jamie Raskin,Democratic,Maryland,8,, 68.2,58.0,D,03/01/2023
289,Representative,Richard Neal,Democratic,Massachusetts,1,, 96.5,71.0,M,03/01/2023
290,Representative,Jim McGovern,Democratic,Massachusetts,2,, 65.3,61.0,M,03/01/2023
291,Representative,Lori Trahan,Democratic,Massachusetts,3,, 97.7,47.0,B,03/01/2023
292,Representative,Jake Auchincloss,Democratic,Massachusetts,4,, 60.8,32.0,M,03/01/2023
293,Representative,Katherine Clark,Democratic,Massachusetts,5,, 74.3,57.0,D,03/01/2023
294,Representative,Seth Moulton,Democratic,Massachusetts,6,, 65.4,42.0,M,03/01/2023
295,Representative,Ayanna Pressley,Democratic,Massachusetts,7,, 86.6,46.0,N,03/01/2023
296,Representative,Stephen F. Lynch,Democratic,Massachusetts,8,, 80.7,65.0,D,03/01/2023
297,Representative,Bill Keating,Democratic,Massachusetts,9,, 61.3,68.0,D,03/01/2023
298,Representative,Jack Bergman,Republican,Michigan,1,, 61.7,73.0,M,03/01/2023
299,Representative,Bill Huizenga,Republican,Michigan,2,, 59.2,51.0,B,03/01/2023
300,Representative,Peter Meijer,Republican,Michigan,3,, 53.0,32.0,M,03/01/2023
301,Representative,John Moolenaar,Republican,Michigan,4,, 65.0,59.0,M,03/01/2023
302,Representative,Dan Kildee,Democratic,Michigan,5,, 54.4,62.0,B,03/01/2023
303,Representative,Fred Upton,Republican,Michigan,6,, 55.8,67.0,B,03/01/2023
304,Representative,Tim Walberg,Republican,Michigan,7,, 58.7,69.0,M,03/01/2023
